er_loc_cpos;er_loc_scpo;er_name;er_name_sin_cp;tbl_loc_cpos;tbl_loc_scpo;tbl_name;tbl_name_sin_cp
2823;0;CEIBAS (2823-0);CEIBAS;2823;0;VILLA PARANACITO (2823-0);VILLA PARANACITO
2823;1;VILLA PARANACITO (2823-1);VILLA PARANACITO;2823;1;CEIBAS (2823-1);CEIBAS
2823;2;FAUSTINO M. PARERA (2823-2);FAUSTINO M. PARERA;2823;0;VILLA PARANACITO (2823-0);VILLA PARANACITO
2823;2;FAUSTINO M. PARERA (2823-2);FAUSTINO M. PARERA;2823;1;CEIBAS (2823-1);CEIBAS
2826;0;PASTOR BRITOS (2826-0);PASTOR BRITOS;2826;0;URDINARRAIN (2826-0);URDINARRAIN
2826;0;PASTOR BRITOS (2826-0);PASTOR BRITOS;2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO
2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO;2826;0;URDINARRAIN (2826-0);URDINARRAIN
2826;2;URDINARRAIN (2826-2);URDINARRAIN;2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO
2826;3;ALDEA SAN JUAN (2826-3);ALDEA SAN JUAN;2826;0;URDINARRAIN (2826-0);URDINARRAIN
2826;3;ALDEA SAN JUAN (2826-3);ALDEA SAN JUAN;2826;1;ALDEA SAN ANTONIO (2826-1);ALDEA SAN ANTONIO
2828;0;ESTACIÓN ESCRIÑA (2828-0);ESTACIÓN ESCRIÑA;2828;0;GILBERT (2828-0);GILBERT
2840;1;ESTACIÓN LAZO (2840-1);ESTACIÓN LAZO;2840;0;GUALEGUAY (2840-0);GUALEGUAY
2840;2;PUERTO RUIZ (2840-2);PUERTO RUIZ;2840;0;GUALEGUAY (2840-0);GUALEGUAY
2845;0;GOBERNADOR MANSILLA (2845-0);GOBERNADOR MANSILLA;2845;1;GOBERNADOR ECHAGUE (2845-1);GOBERNADOR ECHAGUE
2845;1;GOBERNADOR ECHAGUE (2845-1);GOBERNADOR ECHAGUE;2845;0;GOBERNADOR MANSILLA (2845-0);GOBERNADOR MANSILLA
2852;0;IRAZUSTA (2852-0);IRAZUSTA;2852;0;ENRIQUE CARBO (2852-0);ENRIQUE CARBO
3100;0;PARANA (3100-0);PARANA;3100;1;ORO VERDE (3100-1);ORO VERDE
3100;0;PARANA (3100-0);PARANA;3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA
3100;1;ORO VERDE (3100-1);ORO VERDE;3100;0;PARANA (3100-0);PARANA
3100;1;ORO VERDE (3100-1);ORO VERDE;3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA
3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA;3100;0;PARANA (3100-0);PARANA
3100;2;COLONIA AVELLANEDA (3100-2);COLONIA AVELLANEDA;3100;1;ORO VERDE (3100-1);ORO VERDE
