"cp_name";"cp_cpos";"cp_scpo";"id";"id_cas";"sql"
"GUALEGUAYCHU";2820;0;"2820-0";"2820-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2820-0' WHERE loc_cpos = 2820 AND loc_scpo = 0;"
"PUEBLO GENERAL BELGRANO";2821;0;"2821-0";"2821-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2821-0' WHERE loc_cpos = 2821 AND loc_scpo = 0;"
"CEIBAS";2823;0;"2823-0";"2823-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2823-1' WHERE loc_cpos = 2823 AND loc_scpo = 0;"
"VILLA PARANACITO";2823;1;"2823-1";"2823-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2823-0' WHERE loc_cpos = 2823 AND loc_scpo = 1;"
"FAUSTINO M. PARERA";2823;2;"2823-2";"";"INSERT INTO tbl_localidades VALUES ('2823-2', 'FAUSTINO M. PARERA(2823-2)', NOW(), NOW(), '1', '1', 'Localidad FAUSTINO M. PARERA(2823-2)', 0, '1', 'FAUSTINO M. PARERA', 2823, 2, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"GENERAL ALMADA";2824;0;"2824-0";"";"INSERT INTO tbl_localidades VALUES ('2824-0', 'GENERAL ALMADA(2824-0)', NOW(), NOW(), '1', '1', 'Localidad GENERAL ALMADA(2824-0)', 0, '1', 'GENERAL ALMADA', 2824, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"PASTOR BRITOS";2826;0;"2826-0";"";"INSERT INTO tbl_localidades VALUES ('2826-0', 'PASTOR BRITOS(2826-0)', NOW(), NOW(), '1', '1', 'Localidad PASTOR BRITOS(2826-0)', 0, '1', 'PASTOR BRITOS', 2826, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ALDEA SAN JUAN";2826;1;"2826-1";"";"INSERT INTO tbl_localidades VALUES ('2826-1', 'ALDEA SAN JUAN(2826-1)', NOW(), NOW(), '1', '1', 'Localidad ALDEA SAN JUAN(2826-1)', 0, '1', 'ALDEA SAN JUAN', 2826, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ALDEA SAN ANTONIO";2826;2;"2826-2";"2826-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2826-1' WHERE loc_cpos = 2826 AND loc_scpo = 2;"
"URDINARRAIN";2826;3;"2826-3";"2826-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2826-0' WHERE loc_cpos = 2826 AND loc_scpo = 3;"
"ALDEA SAN JUAN";2826;4;"2826-4";"";"INSERT INTO tbl_localidades VALUES ('2826-4', 'ALDEA SAN JUAN(2826-4)', NOW(), NOW(), '1', '1', 'Localidad ALDEA SAN JUAN(2826-4)', 0, '1', 'ALDEA SAN JUAN', 2826, 4, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ESTACIÓN ESCRIÑA";2828;0;"2828-0";"";"INSERT INTO tbl_localidades VALUES ('2828-0', 'ESTACIÓN ESCRIÑA(2828-0)', NOW(), NOW(), '1', '1', 'Localidad ESTACIÓN ESCRIÑA(2828-0)', 0, '1', 'ESTACIÓN ESCRIÑA', 2828, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"GILBERT";2828;1;"2828-1";"2828-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2828-0' WHERE loc_cpos = 2828 AND loc_scpo = 1;"
"GUALEGUAY";2840;0;"2840-0";"2840-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2840-0' WHERE loc_cpos = 2840 AND loc_scpo = 0;"
"ESTACIÓN LAZO";2840;1;"2840-1";"";"INSERT INTO tbl_localidades VALUES ('2840-1', 'ESTACIÓN LAZO(2840-1)', NOW(), NOW(), '1', '1', 'Localidad ESTACIÓN LAZO(2840-1)', 0, '1', 'ESTACIÓN LAZO', 2840, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"PUERTO RUIZ";2840;2;"2840-2";"";"INSERT INTO tbl_localidades VALUES ('2840-2', 'PUERTO RUIZ(2840-2)', NOW(), NOW(), '1', '1', 'Localidad PUERTO RUIZ(2840-2)', 0, '1', 'PUERTO RUIZ', 2840, 2, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ALDEA ASUNCIÓN";2841;0;"2841-0";"";"INSERT INTO tbl_localidades VALUES ('2841-0', 'ALDEA ASUNCIÓN(2841-0)', NOW(), NOW(), '1', '1', 'Localidad ALDEA ASUNCIÓN(2841-0)', 0, '1', 'ALDEA ASUNCIÓN', 2841, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ESTACIÓN ARROYO CLÉ";2841;1;"2841-1";"";"INSERT INTO tbl_localidades VALUES ('2841-1', 'ESTACIÓN ARROYO CLÉ(2841-1)', NOW(), NOW(), '1', '1', 'Localidad ESTACIÓN ARROYO CLÉ(2841-1)', 0, '1', 'ESTACIÓN ARROYO CLÉ', 2841, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"GENERAL GALARZA";2843;0;"2843-0";"2843-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2843-0' WHERE loc_cpos = 2843 AND loc_scpo = 0;"
"GOBERNADOR MANSILLA";2845;0;"2845-0";"2845-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2845-0' WHERE loc_cpos = 2845 AND loc_scpo = 0;"
"GOBERNADOR ECHAGUE";2845;1;"2845-1";"2845-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2845-1' WHERE loc_cpos = 2845 AND loc_scpo = 1;"
"IBICUY";2846;0;"2846-0";"2846-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2846-0' WHERE loc_cpos = 2846 AND loc_scpo = 0;"
"MEDANOS";2846;1;"2846-1";"";"INSERT INTO tbl_localidades VALUES ('2846-1', 'MEDANOS(2846-1)', NOW(), NOW(), '1', '1', 'Localidad MEDANOS(2846-1)', 0, '1', 'MEDANOS', 2846, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ENRIQUE CARBO";2852;0;"2852-0";"2852-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2852-0' WHERE loc_cpos = 2852 AND loc_scpo = 0;"
"LARROQUE";2854;0;"2854-0";"2854-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '2854-0' WHERE loc_cpos = 2854 AND loc_scpo = 0;"
"PARANA";3100;0;"3100-0";"3100-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3100-0' WHERE loc_cpos = 3100 AND loc_scpo = 0;"
"ORO VERDE";3100;1;"3100-1";"3100-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3100-1' WHERE loc_cpos = 3100 AND loc_scpo = 1;"
