cp_name;cp_cpos;cp_scpo;id;id_cas;scenario_debug;sql
GUALEGUAYCHU;2820;0;2820-0;2820-0;1;
PUEBLO GENERAL BELGRANO;2821;0;2821-0;2821-0;1;
CEIBAS;2823;0;2823-0;2823-1;2;
VILLA PARANACITO;2823;1;2823-1;2823-0;2;
FAUSTINO M. PARERA;2823;2;2823-2;;4;
GENERAL ALMADA;2824;0;2824-0;;4;
PASTOR BRITOS;2826;0;2826-0;;4;
ALDEA SAN JUAN;2826;1;2826-1;;4;
ALDEA SAN ANTONIO;2826;2;2826-2;2826-1;2;
URDINARRAIN;2826;3;2826-3;2826-0;2;
ALDEA SAN JUAN;2826;4;2826-4;;4;
ESTACIÓN ESCRIÑA;2828;0;2828-0;;4;
GILBERT;2828;1;2828-1;2828-0;2;
GUALEGUAY;2840;0;2840-0;2840-0;1;
ESTACIÓN LAZO;2840;1;2840-1;;4;
PUERTO RUIZ;2840;2;2840-2;;4;
ALDEA ASUNCIÓN;2841;0;2841-0;;4;
ESTACIÓN ARROYO CLÉ;2841;1;2841-1;;4;
GENERAL GALARZA;2843;0;2843-0;2843-0;1;
GOBERNADOR MANSILLA;2845;0;2845-0;2845-0;1;
GOBERNADOR ECHAGUE;2845;1;2845-1;2845-1;1;
IBICUY;2846;0;2846-0;2846-0;1;
MEDANOS;2846;1;2846-1;;4;
ENRIQUE CARBO;2852;0;2852-0;2852-0;1;
LARROQUE;2854;0;2854-0;2854-0;1;
PARANA;3100;0;3100-0;3100-0;1;
ORO VERDE;3100;1;3100-1;3100-1;1;
COLONIA AVELLANEDA;3100;2;3100-2;3100-2;1;
SAN BENITO;3100;3;3100-3;3107-0;2;
ALDEA VALLE MARIA;3101;0;3101-0;3101-0;1;
PUERTO ALVEAR;3101;1;3101-1;;4;
PUERTO LAS CUEVAS;3101;2;3101-2;3101-5*;3;
ALDEA PROTESTANTE;3101;3;3101-3;3101-2;2;
ALDEA SPATZENKUTTER;3101;4;3101-4;3101-4;1;
ALDEA SALTO;3101;5;3101-5;3101-3;2;
COLONIA ENSAYO;3101;6;3101-6;;4;
ALDEA BRASILERA;3101;7;3101-7;3101-1;2;
DIAMANTE;3105;0;3105-0;3105-0;1;
COLONIA BARU;3105;1;3105-1;;4;
LAS CUEVAS;3105;2;3105-2;3101-5;2;
SAN BENITO;3107;0;3107-0;3107-0;1;
VILLA URQUIZA;3109;0;3109-0;3109-0;1;
LA PICADA;3109;1;3109-1;3109-1;1;
EL PINGO;3113;0;3113-0;;4;
MARIA GRANDE;3114;0;3114-0;3114-0;1;
VILLA GDOR. LUIS F. ETCHEVEHERE;3114;1;3114-1;3114-1*;3;
ESTACIÓN RASED;3115;0;3115-0;;4;
CRESPO;3116;0;3116-0;3116-0;1;
SEGUÍ;3117;0;3117-0;3117-0;1;
DON CRISTOBAL;3118;0;3118-0;;4;
COLONIA CRESPO;3118;1;3118-1;;4;
RAMIREZ;3118;2;3118-2;;4;
VIALE;3120;0;3120-0;3120-0;1;
TABOSSI;3122;0;3122-0;3122-0;1;
ESTACION SOSA;3123;0;3123-0;3123-0;1;
MARIA GRANDE 2DA;3124;0;3124-0;;4;
HASENKAMP;3126;0;3126-0;3126-0;1;
LAS GARZAS;3127;0;3127-0;3127-0;1;
PUEBLO BELLOCQ;3127;1;3127-1;3127-1;1;
ALCARAZ;3128;0;3128-0;3138-0;2;
PIEDRAS BLANCAS;3129;0;3129-0;3129-0;1;
BOVRIL;3130;0;3130-0;3130-0;1;
SIR LEONARD;3131;0;3131-0;;4;
CERRITO;3133;0;3133-0;3133-0;1;
PUEBLO BRUGO;3133;1;3133-1;3133-1;1;
