loc_cpos;loc_scpo;name;id;name_sin_cp;sinonimos
2820;0;"GUALEGUAYCHU (2820-0)";2820-0;"GUALEGUAYCHU";
2821;0;"PUEBLO GENERAL BELGRANO (2821-0)";2821-0;"PUEBLO GENERAL BELGRANO";
2823;0;"CEIBAS (2823-0)";2823-0;"CEIBAS";
2823;1;"VILLA PARANACITO (2823-1)";2823-1;"VILLA PARANACITO";
2823;2;"FAUSTINO M. PARERA (2823-2)";2823-2;"FAUSTINO M. PARERA";
2824;0;"GENERAL ALMADA (2824-0)";2824-0;"GENERAL ALMADA";
2826;0;"PASTOR BRITOS (2826-0)";2826-0;"PASTOR BRITOS";
2826;1;"ALDEA SAN ANTONIO (2826-1)";2826-1;"ALDEA SAN ANTONIO";
2826;2;"URDINARRAIN (2826-2)";2826-2;"URDINARRAIN";
2826;3;"ALDEA SAN JUAN (2826-3)";2826-3;"ALDEA SAN JUAN";
2828;0;"ESTACIÓN ESCRIÑA (2828-0)";2828-0;"ESTACIÓN ESCRIÑA";
2828;1;"GILBERT (2828-1)";2828-1;"GILBERT";
2840;0;"GUALEGUAY (2840-0)";2840-0;"GUALEGUAY";
2840;1;"ESTACIÓN LAZO (2840-1)";2840-1;"ESTACIÓN LAZO";
2840;2;"PUERTO RUIZ (2840-2)";2840-2;"PUERTO RUIZ";
2841;0;"ALDEA ASUNCIÓN (2841-0)";2841-0;"ALDEA ASUNCIÓN";
2841;1;"ESTACIÓN ARROYO CLÉ (2841-1)";2841-1;"ESTACIÓN ARROYO CLÉ";
2843;0;"GENERAL GALARZA (2843-0)";2843-0;"GENERAL GALARZA";
2845;0;"GOBERNADOR MANSILLA (2845-0)";2845-0;"GOBERNADOR MANSILLA";
2845;1;"GOBERNADOR ECHAGUE (2845-1)";2845-1;"GOBERNADOR ECHAGUE";
2846;0;"IBICUY (2846-0)";2846-0;"IBICUY";
2848;0;"MÉDANOS (2848-0)";2848-0;"MÉDANOS";
2852;0;"IRAZUSTA (2852-0)";2852-0;"IRAZUSTA";
2852;1;"ENRIQUE CARBO (2852-1)";2852-1;"ENRIQUE CARBO";
2854;0;"LARROQUE (2854-0)";2854-0;"LARROQUE";
3100;0;"PARANA (3100-0)";3100-0;"PARANA";
3100;1;"ORO VERDE (3100-1)";3100-1;"ORO VERDE";
3100;2;"COLONIA AVELLANEDA (3100-2)";3100-2;"COLONIA AVELLANEDA";
3101;0;"ALDEA PROTESTANTE (3101-0)";3101-0;"ALDEA PROTESTANTE";
3101;1;"ALDEA SPATZENKUTTER (3101-1)";3101-1;"ALDEA SPATZENKUTTER";
3101;2;"PUERTO LAS CUEVAS (3101-2)";3101-2;"PUERTO LAS CUEVAS";
3101;3;"STROBEL (3101-3)";3101-3;"STROBEL";
3101;4;"ALDEA SALTO (3101-4)";3101-4;"ALDEA SALTO";
3101;5;"ALDEA SAN FRANCISCO (3101-5)";3101-5;"ALDEA SAN FRANCISCO";
3101;6;"COLONIA ENSAYO (3101-6)";3101-6;"COLONIA ENSAYO";
3101;7;"GENERAL ALVEAR (3101-7)";3101-7;"GENERAL ALVEAR";
3101;8;"LA JUANITA (3101-8)";3101-8;"LA JUANITA";
3101;9;"LAS JAULAS (3101-9)";3101-9;"LAS JAULAS";
3101;10;"PARAJE LA VIRGEN (3101-10)";3101-10;"PARAJE LA VIRGEN";
3101;11;"ALDEA VALLE MARIA (3101-11)";3101-11;"ALDEA VALLE MARIA";
3101;12;"ALDEA BRASILERA (3101-12)";3101-12;"ALDEA BRASILERA";
3101;13;"MOLINO DOLL (3101-13)";3101-13;"MOLINO DOLL";
3103;0;"VILLA LIBERTADOR SAN MARTÍN (3103-0)";3103-0;"VILLA LIBERTADOR SAN MARTÍN";
3105;0;"DIAMANTE (3105-0)";3105-0;"DIAMANTE";
3107;0;"SAN BENITO (3107-0)";3107-0;"SAN BENITO";
3107;1;"SAUCE PINTO (3107-1)";3107-1;"SAUCE PINTO";
3109;0;"QUEBRACHO (3109-0)";3109-0;"QUEBRACHO";
3109;1;"EL RAMBLÓN (3109-1)";3109-1;"EL RAMBLÓN";
3109;2;"VIALE (3109-2)";3109-2;"VIALE";
3111;0;"LAS TUNAS (3111-0)";3111-0;"LAS TUNAS";
3111;1;"TABOSSI (3111-1)";3111-1;"TABOSSI";
3113;0;"PUEBLO GENERAL SAN MARTÍN (CURTIEMBRE) (3113-0)";3113-0;"PUEBLO GENERAL SAN MARTÍN";
3113;1;"VILLA URQUIZA (3113-1)";3113-1;"VILLA URQUIZA";
3114;0;"GENERAL RACEDO (EL CARMEN) (ESTACIÓN RACEDO) (3114-0)";3114-0;"GENERAL RACEDO";
3114;1;"ALDEA GRAPSCHENTAL (3114-1)";3114-1;"ALDEA GRAPSCHENTAL";
3114;2;"VILLA GDOR. LUIS F. ETCHEVEHERE (3114-2)";3114-2;"VILLA GDOR. LUIS F. ETCHEVEHERE";
3114;3;"ALDEA MARIA LUISA (3114-3)";3114-3;"ALDEA MARIA LUISA";
3114;4;"VILLA FONTANA (3114-4)";3114-4;"VILLA FONTANA";
3116;0;"ESPINILLO NORTE (3116-0)";3116-0;"ESPINILLO NORTE";
3116;1;"ALDEA CHALECO (3116-1)";3116-1;"ALDEA CHALECO";
3116;2;"ALDEA SANTA ROSA (3116-2)";3116-2;"ALDEA SANTA ROSA";
3116;3;"CRESPO (3116-3)";3116-3;"CRESPO";
3117;0;"SEGUI (3117-0)";3117-0;"SEGUI";
3118;0;"COLONIA NUEVA (3118-0)";3118-0;"COLONIA NUEVA";
3118;1;"LA PICADA (3118-1)";3118-1;"LA PICADA";
3118;2;"COLONIA CRESPO (3118-2)";3118-2;"COLONIA CRESPO";
3118;3;"SAUCE MONTRULL (3118-3)";3118-3;"SAUCE MONTRULL";
3122;0;"EL PALENQUE (3122-0)";3122-0;"EL PALENQUE";
3122;1;"CERRITO (3122-1)";3122-1;"CERRITO";
3123;0;"ALDEA SANTA MARÍA (3123-0)";3123-0;"ALDEA SANTA MARÍA";
3125;0;"PUEBLO BRUGO (3125-0)";3125-0;"PUEBLO BRUGO";
3127;0;"HERNANDARIAS (3127-0)";3127-0;"HERNANDARIAS";
3127;1;"PUERTO ALGARROBO (3127-1)";3127-1;"PUERTO ALGARROBO";
3129;0;"PIEDRAS BLANCAS (3129-0)";3129-0;"PIEDRAS BLANCAS";
3131;0;"TEZANOS PINTO (3131-0)";3131-0;"TEZANOS PINTO";
3132;0;"ESTACION EL PINGO (3132-0)";3132-0;"ESTACION EL PINGO";
3133;0;"MARIA GRANDE (3133-0)";3133-0;"MARIA GRANDE";
3133;1;"SOSA (3133-1)";3133-1;"SOSA";
3134;0;"HASENKAMP (3134-0)";3134-0;"HASENKAMP";
3135;0;"ALDEA SAN RAFAEL (3135-0)";3135-0;"ALDEA SAN RAFAEL";
3136;0;"PUEBLO BELLOCQ (LAS GARZAS) (3136-0)";3136-0;"PUEBLO BELLOCQ";
3137;0;"EL SOLAR (3137-0)";3137-0;"EL SOLAR";
3138;0;"ALCARAZ (3138-0)";3138-0;"ALCARAZ";
3142;0;"COLONIA AVIGDOR (3142-0)";3142-0;"COLONIA AVIGDOR";
3142;1;"BOVRIL (3142-1)";3142-1;"BOVRIL";
