loc_cpos;loc_scpo;name;id;name_sin_cp;tbl_id_fk;match_categoria;observacion;tbl_name
2820;0;GUALEGUAYCHU (2820-0);2820-0;GUALEGUAYCHU;2820-0;MATCH_EXACTO;Nombre idéntico;GUALEGUAYCHU (2820-0)
2821;0;PUEBLO GENERAL BELGRANO (2821-0);2821-0;PUEBLO GENERAL BELGRANO;2821-0;MATCH_EXACTO;Nombre idéntico;PUEBLO GENERAL BELGRANO (2821-0)
2823;0;CEIBAS (2823-0);2823-0;CEIBAS;2823-1;MATCH_EXACTO;Nombre idéntico;CEIBAS (2823-1)
2823;1;VILLA PARANACITO (2823-1);2823-1;VILLA PARANACITO;2823-0;MATCH_EXACTO;Nombre idéntico;VILLA PARANACITO (2823-0)
2823;2;FAUSTINO M. PARERA (2823-2);2823-2;FAUSTINO M. PARERA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.36 con VILLA PARANACITO);
2824;0;GENERAL ALMADA (2824-0);2824-0;GENERAL ALMADA;;SIN_MATCH_CPOS;loc_cpos 2824 no existe en TBL;
2826;0;PASTOR BRITOS (2826-0);2826-0;PASTOR BRITOS;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.40 con ALDEA SAN ANTONIO);
2826;1;ALDEA SAN ANTONIO (2826-1);2826-1;ALDEA SAN ANTONIO;2826-1;MATCH_EXACTO;Nombre idéntico;ALDEA SAN ANTONIO (2826-1)
2826;2;URDINARRAIN (2826-2);2826-2;URDINARRAIN;2826-0;MATCH_EXACTO;Nombre idéntico;URDINARRAIN (2826-0)
2826;3;ALDEA SAN JUAN (2826-3);2826-3;ALDEA SAN JUAN;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.77 con ALDEA SAN ANTONIO);
2828;0;ESTACIÓN ESCRIÑA (2828-0);2828-0;ESTACIÓN ESCRIÑA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.17 con GILBERT);
2828;1;GILBERT (2828-1);2828-1;GILBERT;2828-0;MATCH_EXACTO;Nombre idéntico;GILBERT (2828-0)
2840;0;GUALEGUAY (2840-0);2840-0;GUALEGUAY;2840-0;MATCH_EXACTO;Nombre idéntico;GUALEGUAY (2840-0)
2840;1;ESTACIÓN LAZO (2840-1);2840-1;ESTACIÓN LAZO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.18 con GUALEGUAY);
2840;2;PUERTO RUIZ (2840-2);2840-2;PUERTO RUIZ;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.30 con GUALEGUAY);
2841;0;ALDEA ASUNCIÓN (2841-0);2841-0;ALDEA ASUNCIÓN;;SIN_MATCH_CPOS;loc_cpos 2841 no existe en TBL;
2841;1;ESTACIÓN ARROYO CLÉ (2841-1);2841-1;ESTACIÓN ARROYO CLÉ;;SIN_MATCH_CPOS;loc_cpos 2841 no existe en TBL;
2843;0;GENERAL GALARZA (2843-0);2843-0;GENERAL GALARZA;2843-0;MATCH_EXACTO;Nombre idéntico;GENERAL GALARZA (2843-0)
2845;0;GOBERNADOR MANSILLA (2845-0);2845-0;GOBERNADOR MANSILLA;2845-0;MATCH_EXACTO;Nombre idéntico;GOBERNADOR MANSILLA (2845-0)
2845;1;GOBERNADOR ECHAGUE (2845-1);2845-1;GOBERNADOR ECHAGUE;2845-1;MATCH_EXACTO;Nombre idéntico;GOBERNADOR ECHAGUE (2845-1)
2846;0;IBICUY (2846-0);2846-0;IBICUY;2846-0;MATCH_EXACTO;Nombre idéntico;IBICUY (2846-0)
